"B cells naive"	"B cells memory"	"Plasma cells"	"T cells CD8"	"T cells CD4 naive"	"T cells CD4 memory resting"	"T cells CD4 memory activated"	"T cells follicular helper"	"T cells regulatory (Tregs)"	"T cells gamma delta"	"NK cells resting"	"NK cells activated"	"Monocytes"	"Macrophages M0"	"Macrophages M1"	"Macrophages M2"	"Dendritic cells resting"	"Dendritic cells activated"	"Mast cells resting"	"Mast cells activated"	"Eosinophils"	"Neutrophils"	"P-value"	"Correlation"	"RMSE"
"SUB142633_7.0"	0.00612907164933258	0.00347377605973544	0	0.0418712813979024	0.094675226146681	0	0.10126049264652	0	0	0.272765316911287	0.247267693157538	0	0.0860314404916313	0	0	0	0.00204907402954886	0.000323569065771965	0.0331095477957696	0	0.0238556836301284	0.0871878270181535	0	0.677597249542837	0.736565084087854
"SUB142633_14.0"	0.0414059837454403	0	0	0.0726698036412811	0.093922917547604	0	0.110756147960381	0.000258186447116992	0	0.293893265960649	0.17234898430787	0	0.133049934688118	0.00138908224267206	0	0	0.00140818595957215	0.000527216390368484	0.0144776053854187	0	0.0198992573238991	0.0439934283996098	0	0.745382428024219	0.68127271751701
"SUB142634_0.0"	0.0222157836567197	0	0	0.0718971702293891	0.0825384206421053	0	0.101934760053842	0	0	0.260500078495551	0.207103769312851	0	0.13978132661071	0	0	0	9.94481796923381e-05	0.00239324109825366	0.0194345548777848	0	0.0577829240931462	0.0343185227499545	0	0.711230671333188	0.711371679733852
"SUB142634_1.0"	0.0135579364893063	0	0	0.0505515208575259	0.117215794420562	0	0.08660625315473	0	0	0.220804210898074	0.169210074792769	0	0.257021560793568	0.00708510898357771	0.00130503095412458	0	0.00528364818319198	0.00308848163011923	0.0297276124029682	0	0.0120593815013645	0.026483384938118	0	0.642970809233322	0.770046177455934
"SUB142634_3.0"	0.00323472404408292	0.00554155260193463	0	0	0.161337083537739	0.0310025565111733	0.0917894298546291	0	0	0.214868923285372	0.165397193084379	0	0.149409169865011	0.0140569833456868	0.00405461042857405	0	0.0163139745977546	0.00744648600644282	0	0	0.0604389076474835	0.075108405189738	0	0.726602630771741	0.71124709650759
"SUB142634_7.0"	0.0131936241833661	0	0	0.0176315264154931	0.0990507777108807	0.0200525401825908	0.0770561219083733	0	0	0.243694897366649	0.246630397546982	0	0.125921477423011	0	0	0	0.00709987530015379	0.00504068005539154	0.00748840898999637	0	0.0520401077900544	0.0850995651270585	0	0.737011518447459	0.688410566914997
"SUB142634_14.0"	0.018450937247606	0.00314682859836226	0	0	0.111090751444212	0.112674083253675	0.0991172887943157	0	0	0.243344602314494	0.166161476616191	0	0.0885293197700016	0.00414873475021596	0.00475717734015586	0	0.0125326558861228	0.00763529546916014	0	0	0.058219342962068	0.07019150555342	0	0.71846317400348	0.711507529326935
"SUB142608_0.0"	0.0440786528462953	0	0	0.0128848352859218	0.105940542032013	0.095013218913943	0.0816573735557634	0	0	0.209489113895316	0.1008382879142	0	0.191283486502293	0.00542911784721822	0.00514644868380922	0	0.0155708198835261	0	0	0	0.0604018144752589	0.0722662881644419	0	0.522040950527372	0.852031915597287
"SUB142608_1.0"	0.0214721274178984	0	0	0	0.0489295197841022	0.0656521877122071	0.0455725282714436	0.00162055268813335	0	0.161872610385572	0.0617514879892506	0	0.409507352295083	0.00237992240627062	0.00728386279563116	0	0.00194509094339156	0.00816348984991709	0.00960728827221884	0	0.102192942284253	0.0520490369046267	0	0.549279293185244	0.834950532910892
"SUB142608_3.0"	0.0364935785504936	0	0	0.0264483905417879	0.0530369403852564	0.0927897871131924	0.0788414261081534	0	0	0.22192031828866	0.0807820214034622	0	0.245030615600967	0.0153231558828975	0.00465221243446175	0	0.0157054356388752	0	0	0	0.075382727301582	0.0535933907502109	0	0.541871159754413	0.840021868195489
"SUB142608_7.0"	0.0630146235841107	0	0	0.0367856804698691	0.0904635234215871	0.120448181424119	0.0841886889430387	0	0	0.224409263513757	0.0904752660608836	0	0.138812030138887	0.0102075327796648	0.00485442390115814	0	0.0141447180979057	0.000532951694242849	0	0	0.0538950296458944	0.0677680863248814	0	0.48937273568076	0.871913260163375
"SUB142608_14.0"	0.0406028893780456	0.00176134407450816	0	0	0.111922135712612	0.0772453919422534	0.0761352031165185	0	0	0.19575912735562	0.0790210236400841	0	0.292941393147041	0.0188213741445509	0.00337290609684476	0	0.00771190953150952	0	0	0	0.0631378432676406	0.0315674585927707	0	0.518120294607607	0.854508312000431
"SUB142635_0.0"	0.0391141287956922	0	0	0.0491046179115809	0.167576544515019	0.0329355363607962	0.0564233179579726	0	0	0.116590254878587	0.0781020104807958	0	0.299200259948244	0.0100676279957632	0	0	0.000769644481129123	0.000103103436241033	0.0279135483139368	0	0.027876925511493	0.0942224794127495	0	0.634195235202012	0.782225695093651
"SUB142635_1.0"	0.0300121439771292	0	0	0.0116266085842923	0.163603603747568	0	0.0389018667985064	0.00337602605553379	0	0.125321670771456	0.104881806981068	0	0.28317592428001	0.00150388483437479	0	0	0.00157922526744308	0.000438475690005344	0.0285063487852691	0	0.0681200456167338	0.13895236861061	0	0.636667922161985	0.778427329833827
"SUB142635_3.0"	0.029034619492199	0	0	0.0182202302375986	0.142339103415213	0	0.0788088483182994	0	0	0.187888441877076	0.114332476719357	0	0.294267748313658	0.000163966538249944	0	0	0.00512662310871994	0.00328337858231002	0.0284550009563428	0	0.0339677223089842	0.064111840131992	0	0.64476709005343	0.77365497765137
"SUB142635_7.0"	0.0291879993581546	0.00416861146114454	0	0	0.212366929510459	0.0217053792294789	0.0730301650406121	0	0	0.166572002877359	0.0659619166960248	0	0.228061663597654	0.00917857080030576	0.00563066326972037	0	0.0219325428521969	0	0.0177498586302852	0	0.0608922072166686	0.0835614894599367	0	0.660953052117241	0.768545625851019
"SUB142635_14.0"	0.044496421392554	0	0	0.0251405838495127	0.154468140927215	0.0116544691998835	0.0524041463033743	0	0	0.17058309196591	0.129443371266423	0	0.321401293026894	0.00683957643943387	0	0	0.00170062393185308	0.00329092294215096	0.0121788565760143	0	0.0405932428161089	0.0258052593626724	0	0.622226781514343	0.788426890127927
"SUB142636_0.0"	0.0445591402869006	0	0	0.0425605547020713	0.105760412226501	0.0219994856990953	0.0832513106451314	0	0	0.157151696653949	0.143475873379911	0	0.28188736117234	0	0	0	0	0.000943177435786593	0.0173230968668455	0	0.0111763318258899	0.0899115591055789	0	0.614470408091275	0.79225191363453
"SUB142636_1.0"	0.0393526559757986	0	0	0	0.121132305388912	0	0.0810162717453539	0.0200025789327996	0	0.191023373271528	0.1104945343017	0	0.245886332731013	0.0154379862226611	0.00409454516934832	0	0.0124623537903224	0.00729231307297087	0	0	0.053593315046458	0.098211434351134	0	0.591376546768433	0.80924369261944
"SUB142636_3.0"	0.0369984682658702	0	0	0	0.175358984426646	0.00880237761750089	0.0944276901735812	0	0	0.201440117212603	0.116374984264141	0	0.193734599942973	0.0110854932946548	0.00245367803383258	0	0.0168095287805823	0.00976353555902467	0.00860936913749055	0	0.0602440815541471	0.063897091736953	0	0.572322510782152	0.821965057462835
"SUB142636_7.0"	0.0393078000613348	0	0	0.0049307172512872	0.17352311902595	0	0.0852734775355979	0	0	0.204275601606113	0.108636483879692	0	0.210345062254158	0.0178555106738285	0.00168559479925856	0	0.0097632242836852	0.00945019631892918	0	0	0.043332922438257	0.0916202898719086	0	0.634122622181948	0.781432860485851
"SUB142636_14.0"	0.0531424933729009	0	0	0.0650903568728885	0.140858729784977	0	0.0726689675555496	0.000272863667892129	0	0.183229766414385	0.0984352207573216	0	0.241933383777191	0.0216214549857115	0.0038792515425105	0	0.0157921840751739	0.00753033238861908	0.0119555431998985	0	0.0504197452017539	0.0331697064032265	0	0.654024716441761	0.771168816342677
"SUB142641_0.0"	0.0644742168800706	0	0	0.0197324143457903	0.187644312956545	0	0.0732169664138091	0.0195814903453149	0	0.18303860810628	0.0980070926729796	0	0.224155569867631	0.0183108153792529	0	0	0.00893773932193834	0.00797017505602973	0	0	0.0402493228570003	0.0546812757973582	0	0.696220071734198	0.742508468517479
"SUB142641_1.0"	0.0550088162988771	0	0	0.0204016947512161	0.146030765586069	0	0.0755012336651638	0	0	0.183861055891929	0.0717109546989394	0	0.27512859646378	0.0212252541158134	0.00437733548461158	0	0.00716347037938881	0.00954453013916719	0.00429237654242704	0	0.0611928920118134	0.0645610239708052	0	0.574531280491096	0.821294543812778
"SUB142641_3.0"	0.066592843019413	0	0	0.00658651259160553	0.146815321193246	0.00928898345028723	0.0992341158148789	0.0293943244004265	0	0.280132040844545	0.0819474054003931	0	0.154640274714124	0.0165570445579136	0.00356359555690415	0	0.0127436003499448	0.000547366685228016	0.0122497123266091	0	0.0447615252577814	0.0349453338366996	0	0.617640812173664	0.791413103064519
"SUB142641_7.0"	0.0505793331216401	0	0	0.0349231036069893	0.0903089183156113	0	0.0799516895645104	0.0030084825686408	0	0.209378974640847	0.0723729188878888	0	0.14080737179597	0	0	0	0.0107907312530692	0.003785262370478	0.0272909564730252	0	0.0822133401355961	0.194588917265734	0	0.676219524070074	0.75023384427043
"SUB142641_14.0"	0.0460363384880352	0	0	0	0.153371058740715	0.0388915554772299	0.0773698801368485	0.0160787564539558	0	0.216408878601404	0.0752731548699204	0	0.181324949895698	0.014175413754112	0.00535191691035207	0	0.0182112698240775	0	0.0022670385753829	0	0.0441261712938992	0.111113616978369	0	0.669434754126963	0.758282899949626
"SUB142602_0.0"	0.039887373785042	0	0	0.0161335325094656	0.0470169170993499	0.0307077227836163	0.104925077066063	0.0186962918513466	0	0.271945065376589	0.109113106044155	0	0.158563120630019	0.0158204133580301	0.00288201692535928	0	0.015703814820704	0.00726570002868032	0.00245887939763037	0	0.0878319663622938	0.071049001961656	0	0.576393668161283	0.817743698538322
"SUB142602_1.0"	0.0332705145646533	0	0	0.0391059792661516	0.100892246111895	0	0.122971397189801	0	0	0.273011290974259	0.0651879481551132	0	0.189549674617732	0.0196974765414803	0.00432672712136855	0	0.00753825860524668	0.00785245180076199	0.0213416736391124	0	0.0509757294409255	0.0642786319715006	0	0.531659075584138	0.846195948725334
"SUB142602_3.0"	0.0403031216765139	0	0	0	0.107519666505171	0.0199225229173301	0.0963134742166629	0	0	0.307981867043431	0.132110005637773	0	0.17020603640931	0.0144110039002677	0.00374481709452714	0	0.0151924162366236	0.00307311690729524	0.00614458548298257	0	0.0411124592881067	0.041964906684005	0	0.567661546745872	0.822499009591448
"SUB142602_7.0"	0.0527699011130196	0	0	0.00903978646729908	0.0864214220023843	0.0406746887545602	0.090569065120676	0.0267630407575323	0	0.300855920346293	0.0936615215564541	0	0.119371494596011	0.0122874684501719	0.001801745229035	0	0.0163779148228311	0.00855043634526262	0	0	0.0695276439626077	0.0713279504758628	0	0.54514716817999	0.837561703716918
"SUB142602_14.0"	0.0460859589599778	0	0	0.0118452888986692	0.0835991723002798	0.0349709256398502	0.0886694792934522	0.00378762387294172	0	0.310889105034693	0.0916380591513605	0	0.155034335023442	0.0172159582541773	0.000663118875096866	0	0.0166784245882335	0.00881687463266624	0.0207546561480143	0	0.0480601124488844	0.0612909068782609	0	0.612092477590087	0.793608481474725
"SUB142610_0.0"	0.0560748967402122	0	0	0	0.182283307980139	0.0378392130088899	0.0869797060969084	0.00465579586502972	0	0.225491470329858	0.138168945404905	0	0.132530343208109	0.0153876780658023	0.00409779877297268	0	0.0137731463434588	0.00736301605707163	0	0	0.0549456983736711	0.0404089837529718	0	0.661125944730203	0.761224903714188
"SUB142610_1.0"	0.0274452757029062	0	0	0.0231284830156149	0.131554448793024	0	0.112830725077225	0	0	0.205791468594633	0.118955505637944	0	0.270081442785437	0	0	0	0	0.0113708415951826	0.0231768954312107	0	0.0232900090857581	0.0523749042810642	0	0.56497320138251	0.82526336997113
