Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
SUB142603_1.0,0.0868973001273512,0,0,0,0.24564880357415,0,0.0722593894741307,0.0195232219927099,0,0.167345767320147,0.10837016508983,0,0.161411336275872,0.0193290657927978,0.00466030092187914,0,0.0164104905007059,0.000559776060662064,0.016431646417646,0,0.0328455644063643,0.0483071720457544,0,0.490012206359077,0.870799040845362
SUB142603_3.0,0.0716926208215738,0,0,0,0.193636887626196,0.0071148027334348,0.0966676403926865,0.0132761838615389,0,0.228197017220091,0.131462043919568,0,0.090359226669658,0.00576826692853132,0.00694045006365564,0,0.0195636019892217,0,0.0026397015674775,0,0.0468530188222827,0.0858285373840843,0,0.51465662867294,0.85664957935598
SUB142603_7.0,0.0800793002872451,0,0,0,0.229754034040281,0.0416152477693371,0.0697414931066712,0.0110143651240688,0,0.197311686159154,0.118670308063407,0,0.129073252011523,0.00675450071660198,0.00480856034286322,0,0.0152422823362871,0,0.00424713235411929,0,0.0300908616358662,0.0615969760525755,0,0.514189673646349,0.856807248177418
SUB142603_14.0,0.0897554530493243,0,0,0,0.189461284855659,0.0174707189644921,0.0800733519537656,0.00984298957322704,0,0.210357936841329,0.0919799827616403,0,0.137621761264807,0.00763804458676211,0.00464805592914981,0,0.0174303946655159,0.00377723580391799,0.0200030423418367,0,0.0562362508955412,0.0637034965130308,0,0.491168925282211,0.870137492043614
SUB142659_0.0,0.0403348201909688,0,0,0.0556346650950037,0.0689618741673393,0.0660022488865454,0.045144386244288,0.000115070711608854,0,0.328367017627806,0.0208741236735581,0,0.160867812603104,0.0127232849561939,0.0048603273746003,0,0.0131834304188753,0.00134316404859405,0.026047076837298,0,0.065547311679529,0.0899933854846866,0,0.613858201648498,0.792198871100682
SUB142659_1.0,0.0255160714238475,0,0,0.112234996260531,0.020958570523598,0,0.05268841883427,0,0,0.28219093626173,0.0925654996728812,0,0.178506931119839,0.0194435443616957,0.00582680313634273,0,0.0115705087045807,0.00688787787332303,0.0415932172696103,0,0.0599109737312122,0.0901056508265387,0,0.685443611895995,0.740223724217075
SUB142659_3.0,0.0338119213612086,0,0,0.101068687667227,0.0743971885562423,0.00690786579165836,0.0417978137013586,0.0290947186006826,0,0.319797392547056,0.0264771109651075,0,0.212889727856018,0.0258789924139025,0.00458865155502501,0,0.00934230752301086,0.00404322489454108,0.027318543614477,0,0.0556426854178314,0.0269431675346534,0,0.728932656877457,0.709587653030464
SUB142659_7.0,0.0337386260302068,0,0,0.0826715687380151,0.0904983940951349,0,0.0558894544090991,0.0283817862679257,0,0.330282578688614,0.047248249354352,0,0.179853649461765,0.0180957902029716,0.00232883711940727,0,0.0169383091165008,0.0071407085062975,0.0135531598250244,0,0.0554492963078572,0.0379295918768285,0,0.64516151783958,0.769305334952122
SUB142659_14.0,0.0509150575699271,0,0,0.0957275594441421,0.0584396872462726,0,0.0468881589825548,0,0,0.23689265691443,0.0411930854241129,0,0.357323776748934,0.00690546886274218,0,0,0,0.00647118214334172,0.0309777140169529,0,0.0566627076357586,0.0116029450108314,0,0.632825679640087,0.780523950738073
SUB142661_0.0,0.0518481413750392,0,0,0,0.142769824668059,0,0.102573881008734,0,0,0.260320489871274,0.127236234457811,0,0.18317071093077,0.0146568311003526,0.00438991733596081,0,0.0179631143015036,0,0.0246927474688033,0,0.0308779786479866,0.0395001288337055,0,0.595225552784546,0.805759342967222
